名称,达成条件,备注
思考者,能够详细思考某件事,""
绝望的舞步,强烈感到绝望,无贬低义
信息的力量,使用互联网,""
欲穷千里目,主动走到距离地面大于10米的高度眺望远方,""
废寝忘食,连续多天思考同一件事,""
星辰大海,仔细观察星星,""
爱困,一天之内在白天睡觉3次,无其他含义
放鸽子,好友没有合理原因不遵守约定,""
废话大师,交流时说3句废话且对方没有反感,“废话”中只能有过的信息、可以简单推导出的信息
你被骗了,因为恶意的谎言失利,此处指只使用言语的谎言
梦想家,决定了人生理想,""
救死扶伤,医治一个病人,""
工匠精神,在工业界钻研自己的领域,无贬低义
无产阶级万岁,代表无产阶级反压迫反剥削,""
拾金不昧,捡到财产归还原主,""
登顶,主动登上海拔大于1000米的山峰,注意安全
请输入文本,没有较大影响的操作失误,无其他含义
上天入地,到达过海拔大于2000米和海拔小于100米的地方,""
人性的扭曲,不加思考直接感到恐怖,通常实际上不恐怖
点子王,在与其他人的交流中提出点子并成功执行,""
笑点在哪里,感受不到别人能感受到的笑话笑点,""
别玩文字游戏,因为对方玩文字游戏导致利息损失,不提倡文字游戏
算力不足,思考中有部分内容难以理解,""
样样精通,学会超过10种技能,""
